"PERMAID","DAYID","USECROSSWALK","USEROAD","NS","EW"
"1","1","1","1","0","1"
"2","2","0","0","0","1"
"3","3","0","0","0","0"
"4","4","0","0","1","0"
"5","5","0","1","1","1"
"6","6","0","1","0","1"
"7","7","0","1","0","1"
"8","8","0","0","0","0"
"9","9","0","0","0","1"
"10","10","0","0","0","1"
"11","11","0","0","1","1"
"12","12","0","0","0","1"
"13","13","0","0","0","1"
"14","14","0","0","0","1"
"15","15","0","0","0","1"
"16","16","0","1","0","1"
"17","17","1","1","0","1"
"18","18","0","0","1","0"
"19","19","1","1","0","1"
"21","21","0","1","0","1"
"22","22","0","0","1","0"
"23","23","0","0","1","0"
"24","24","0","0","0","1"
"25","25","0","0","1","0"
"26","26","0","0","1","0"
"27","27","0","1","1","1"
"28","28","1","1","0","1"
"29","29","0","0","1","1"
"30","30","0","0","0","0"
"31","31","1","1","1","1"
"32","32","1","1","0","1"
"33","33","0","0","0","1"
"34","34","0","0","0","0"
"35","35","0","0","0","0"
"36","36","0","0","0","1"
"37","37","1","1","0","1"
"38","38","0","0","1","1"
"39","39","0","0","0","1"
"40","40","0","0","0","1"
"41","41","0","0","0","0"
"42","42","1","1","0","1"
"43","43","0","1","0","1"
"44","44","0","1","0","1"
"45","45","0","1","0","1"
"46","46","0","0","0","1"
"47","47","0","0","0","1"
"48","48","0","0","0","1"
"49","49","0","0","0","1"
"50","50","0","0","1","1"
"51","51","1","1","0","1"
"52","52","1","1","0","1"
"53","53","1","1","1","1"
"54","54","0","0","1","1"
"55","55","1","1","0","1"
"56","56","0","1","0","1"
"57","57","0","0","0","1"
"58","58","0","0","0","1"
"59","59","0","1","1","1"
"60","60","0","0","0","0"
"61","61","0","1","0","1"
"62","62","0","1","0","1"
"63","63","0","0","0","0"
"64","64","1","1","0","1"
"65","65","0","1","1","1"
"66","66","0","0","1","1"
"67","67","0","0","1","1"
"68","68","0","0","1","0"
"69","69","0","0","0","0"
"70","70","0","0","0","0"
"71","71","0","0","0","1"
"72","72","0","0","0","1"
"73","73","0","1","0","1"
"74","74","0","1","0","1"
"75","75","0","0","0","1"
"76","76","0","0","0","1"
"77","77","0","0","0","1"
"78","78","0","0","0","1"
"79","79","0","0","0","1"
"80","80","1","1","0","1"
"81","81","0","1","1","1"
"82","82","0","1","1","1"
"83","83","0","1","1","1"
"84","84","0","1","1","0"
"85","85","0","0","0","1"
"86","86","0","0","0","1"
"87","87","0","0","1","1"
"88","88","0","0","0","1"
"89","89","0","1","0","1"
"90","90","0","0","1","0"
"91","91","0","0","0","0"
"92","92","0","0","1","1"
"93","93","0","0","0","0"
"94","94","0","0","0","0"
"95","95","0","0","0","0"
"96","96","0","0","1","1"
"97","97","0","0","0","0"
"98","98","0","0","1","0"
"99","99","0","0","1","0"
"100","100","0","0","1","1"
"101","101","1","1","1","0"
"102","102","0","1","1","0"
"103","103","0","0","1","1"
"104","104","0","0","1","0"
"105","105","0","0","1","0"
"106","106","0","0","1","1"
"107","107","0","0","0","0"
"108","108","0","1","0","1"
"109","109","0","0","1","1"
"110","110","0","0","1","1"
"111","111","0","1","1","0"
"112","112","0","0","1","0"
"113","113","0","0","0","1"
"114","114","1","1","0","0"
"115","115","0","0","0","0"
"116","116","1","1","1","0"
"117","117","0","0","1","0"
"118","118","0","0","1","0"
"119","119","0","0","1","0"
"120","120","0","1","0","0"
"121","121","0","0","1","0"
"122","122","0","0","1","0"
"123","123","0","1","1","1"
"124","124","0","1","1","0"
"125","125","0","0","1","0"
"126","126","0","0","1","0"
"127","127","0","0","1","0"
"128","128","0","0","0","0"
"129","129","0","1","1","0"
"130","130","0","0","0","0"
"131","131","0","0","1","0"
"132","132","0","0","1","1"
"133","133","0","0","1","0"
"134","134","0","0","1","1"
"135","135","0","0","0","0"
"136","136","0","0","0","1"
"137","137","0","0","0","0"
"138","138","0","1","1","0"
"139","139","0","0","0","1"
"140","140","0","1","0","1"
"141","141","0","0","0","0"
"142","142","0","0","1","0"
"143","143","0","0","1","0"
"144","144","1","1","1","0"
"145","145","0","0","0","0"
"146","146","0","0","0","1"
"147","147","1","1","0","0"
"148","148","0","0","0","1"
"149","149","0","0","1","0"
"150","150","1","1","0","1"
"151","151","0","0","0","0"
"152","152","0","0","0","0"
"153","153","0","1","1","0"
"154","154","0","0","1","1"
"155","155","0","0","1","0"
"156","156","0","0","0","1"
"157","157","0","0","0","0"
"158","158","0","0","1","0"
"159","159","0","0","1","0"
"160","160","0","0","1","0"
"161","161","0","1","0","1"
"162","162","0","0","0","1"
"163","163","0","0","0","1"
"164","164","0","0","0","1"
"165","165","1","1","0","1"
"166","166","0","0","1","0"
"167","167","0","1","0","1"
"168","168","0","0","0","0"
"169","169","0","0","0","1"
"170","170","0","0","1","1"
"171","171","0","0","0","0"
"173","173","0","0","0","0"
"174","174","0","0","0","0"
"175","175","0","0","0","0"
"176","176","0","0","0","0"
"177","177","1","1","1","0"
"178","178","1","1","0","0"
"179","179","1","1","0","0"
"180","180","0","0","1","0"
"181","181","0","0","0","0"
"182","182","0","0","1","0"
"183","183","0","0","0","0"
"184","184","0","0","1","1"
"185","185","0","0","1","1"
"186","186","0","1","0","0"
"187","187","0","0","0","0"
"188","188","1","1","0","1"
"189","189","0","0","1","0"
"190","190","1","1","0","0"
"191","191","0","0","0","1"
"192","192","0","0","0","0"
"193","193","1","1","1","0"
"194","194","1","1","1","0"
"195","195","0","0","1","0"
"196","196","0","0","1","1"
"197","197","1","1","0","0"
"198","198","0","0","0","1"
"200","200","0","0","0","0"
"201","201","0","0","1","1"
"202","202","0","1","0","0"
"203","203","0","0","0","0"
"204","204","0","1","1","1"
"205","205","1","1","1","0"
"206","206","0","1","1","1"
"207","207","0","1","1","1"
"208","208","0","0","1","1"
"209","209","0","0","1","0"
"210","210","0","0","1","0"
"211","211","0","0","0","0"
"212","212","1","1","0","1"
"213","213","0","1","1","0"
"214","214","0","0","1","0"
"215","215","0","0","1","1"
"216","216","0","0","1","0"
"217","217","0","0","0","0"
"218","218","0","0","0","0"
"219","219","0","0","0","0"
"220","220","1","1","1","0"
"221","221","0","1","1","0"
"222","222","0","0","1","0"
"223","223","0","1","1","0"
"224","224","0","0","0","0"
"225","225","0","0","0","1"
"226","226","0","0","0","1"
"227","227","1","1","1","0"
"228","228","0","1","1","0"
"229","229","0","1","1","0"
"230","230","1","1","1","0"
"231","231","0","1","1","0"
"232","232","0","0","0","0"
"233","233","0","0","1","0"
"234","234","0","0","1","0"
"235","235","0","0","1","0"
"236","236","0","0","1","0"
"237","237","1","1","0","0"
"238","238","1","1","0","0"
"239","239","0","0","1","1"
"240","240","0","0","0","0"
"241","241","1","1","1","1"
"242","242","0","0","0","1"
"243","243","1","1","1","1"
"244","244","0","0","1","1"
"245","245","0","1","1","0"
"246","246","0","0","1","1"
"247","247","0","0","1","0"
"248","248","1","1","1","0"
"249","249","0","0","0","1"
"250","250","0","0","0","1"
"251","251","0","0","0","1"
"252","252","0","0","0","0"
"253","253","0","0","1","1"
"254","254","0","0","0","1"
"255","255","0","0","0","0"
"256","256","0","1","1","0"
"257","257","0","0","0","1"
"258","258","1","1","0","0"
"259","259","0","0","0","1"
"260","260","0","0","0","0"
"261","261","0","0","0","0"
"262","262","0","0","0","0"
"263","263","0","0","0","0"
"264","264","0","0","0","0"
"265","265","0","1","0","0"
"266","266","0","0","1","0"
"267","267","0","0","1","0"
"268","268","0","0","0","1"
"269","269","0","0","0","1"
"270","270","0","0","0","1"
"271","271","1","1","1","0"
"272","272","0","1","1","0"
"273","273","0","0","1","0"
"274","274","1","1","0","1"
"275","275","0","0","0","1"
"276","276","0","0","1","0"
"277","277","0","0","1","0"
"278","278","0","0","1","0"
"279","279","0","0","0","1"
"280","280","0","0","0","1"
"281","281","0","0","0","1"
"282","282","1","1","1","0"
"283","283","0","0","0","1"
"284","284","0","0","0","0"
"285","285","0","0","0","0"
"286","286","0","0","1","0"
"287","287","0","0","1","1"
"288","288","0","1","1","1"
"289","289","0","0","1","0"
"290","290","0","0","1","1"
"291","291","0","0","0","1"
"292","292","0","0","0","0"
"293","293","0","0","1","0"
"294","294","0","0","0","0"
"295","295","0","0","1","1"
"296","296","0","0","1","1"
"297","297","0","1","1","0"
"298","298","0","1","1","0"
"299","299","0","0","1","0"
"300","300","0","0","1","0"
"301","301","1","1","0","0"
"302","302","0","0","0","1"
"303","303","0","0","0","0"
"304","304","0","0","0","1"
"305","305","0","0","0","0"
"306","306","0","0","0","1"
"307","307","1","1","0","1"
"308","308","1","1","0","1"
"309","309","0","0","0","0"
"310","310","0","0","0","1"
"311","311","0","0","0","0"
"312","312","0","0","0","0"
"313","313","0","0","0","0"
"314","314","0","0","0","0"
"315","315","0","0","1","0"
"316","316","0","0","1","0"
"317","317","0","0","1","1"
"318","318","0","0","1","0"
"319","319","0","0","1","0"
"320","320","0","0","1","1"
"321","321","0","0","1","0"
"322","322","0","0","1","0"
"323","323","0","0","1","0"
"324","324","0","0","0","0"
"325","325","0","0","1","0"
"326","326","0","0","1","1"
"327","327","0","0","0","0"
"328","328","1","1","0","0"
"329","329","0","0","0","1"
"330","330","0","0","0","1"
"331","331","0","0","0","1"
"332","332","0","0","0","1"
"333","333","0","0","0","0"
"334","334","0","0","1","0"
"335","335","0","0","1","0"
"336","336","0","0","1","1"
"337","337","0","0","0","1"
"338","338","0","0","0","0"
"339","1","0","1","1","1"
"340","2","0","0","0","1"
"341","3","0","0","0","0"
"342","4","0","1","1","1"
"343","5","1","1","0","1"
"344","6","0","0","0","0"
"345","7","1","1","1","0"
"346","8","0","0","0","0"
"347","9","0","0","0","1"
"348","10","0","0","0","1"
"349","11","0","0","0","1"
"350","12","0","0","0","1"
"351","13","0","0","0","0"
"352","14","0","0","1","0"
"353","15","0","0","0","1"
"354","16","0","0","0","1"
"355","17","0","0","1","0"
"356","18","0","1","0","1"
"357","19","0","0","1","0"
"358","20","0","0","0","0"
"359","21","1","1","0","1"
"360","22","0","1","0","1"
"361","23","0","0","0","0"
"362","24","0","1","0","1"
"363","25","0","0","0","1"
"364","26","0","0","1","1"
"365","27","0","0","1","1"
"366","28","0","0","0","0"
"367","29","0","0","0","0"
"368","30","0","0","1","0"
"369","31","0","0","1","0"
"370","32","1","1","1","1"
"371","33","1","1","1","1"
"372","34","0","0","1","0"
"373","35","0","0","0","1"
"374","36","0","0","0","1"
"375","37","0","0","1","1"
"376","38","0","0","0","1"
"377","39","0","0","0","1"
"378","40","1","1","0","1"
"379","41","1","1","0","1"
"380","42","0","0","0","0"
"381","43","0","0","0","0"
"382","44","0","0","0","1"
"383","45","0","1","1","0"
"384","46","0","0","1","0"
"385","47","0","0","1","1"
"386","48","0","1","0","1"
"387","49","1","1","0","1"
"388","50","0","1","1","1"
"389","51","1","1","0","1"
"390","52","0","0","1","1"
"391","53","0","1","0","1"
"392","54","0","1","0","1"
"393","55","0","1","0","1"
"394","56","0","0","0","1"
"395","57","0","0","1","1"
"396","58","0","1","0","1"
"397","59","0","1","0","1"
"398","60","0","1","0","1"
"399","61","1","1","0","0"
"400","62","0","0","1","1"
"401","63","0","0","0","1"
"402","64","0","1","0","1"
"403","65","0","1","0","1"
"404","66","1","1","0","1"
"405","67","0","1","0","1"
"406","68","1","1","0","1"
"407","69","0","0","0","1"
"408","70","0","0","0","1"
"409","71","0","0","1","1"
"410","72","0","0","0","1"
"411","73","0","0","0","0"
"412","74","0","0","0","0"
"413","75","0","0","0","0"
"414","76","0","0","1","1"
"415","77","0","0","0","1"
"416","78","0","0","0","0"
"417","79","0","0","1","0"
"418","80","0","0","0","0"
"419","81","0","0","1","0"
"420","82","0","0","1","1"
"421","83","0","0","1","0"
"422","84","0","0","0","0"
"423","85","0","0","1","1"
"424","86","0","0","1","0"
"425","87","1","1","1","1"
"426","88","1","1","1","1"
"427","89","1","1","1","1"
"428","90","0","1","0","1"
"429","91","0","0","0","1"
"430","92","0","1","0","1"
"431","93","1","1","1","1"
"432","94","0","0","1","1"
"433","95","0","1","1","1"
"434","96","0","0","1","1"
"435","97","0","0","0","0"
"436","98","0","0","1","1"
"437","99","0","0","1","1"
"438","100","0","0","1","0"
"439","101","0","1","0","1"
"440","102","0","0","1","0"
"441","103","0","0","1","0"
"442","104","0","0","1","0"
"443","105","0","0","1","0"
"444","106","0","0","1","1"
"445","107","0","0","1","0"
"446","108","0","0","1","0"
"447","109","0","0","1","0"
"448","110","0","1","1","0"
"449","111","0","0","0","0"
"450","112","0","1","1","0"
"451","113","0","0","1","1"
"452","114","0","0","0","1"
"453","115","0","0","0","1"
"454","116","1","1","0","1"
"455","117","0","1","1","0"
"456","118","0","0","0","0"
"457","119","0","0","1","0"
"458","120","0","0","1","0"
"459","121","0","0","1","0"
"460","122","0","0","0","0"
"461","123","0","0","1","0"
"462","124","0","1","0","1"
"463","125","0","0","1","1"
"464","126","0","0","0","1"
"465","127","0","0","0","1"
"466","128","0","0","0","1"
"467","129","0","1","1","1"
"468","130","0","0","1","1"
"469","131","1","1","1","0"
"470","132","0","0","1","1"
"471","133","1","1","1","0"
"472","134","0","0","1","0"
"473","135","1","1","1","0"
"474","136","1","1","1","0"
"475","137","0","0","1","0"
"476","138","1","1","1","0"
"477","139","0","0","0","0"
"478","140","0","1","1","0"
"479","141","0","0","1","0"
"480","142","0","1","1","0"
"481","143","0","0","1","0"
"482","144","0","0","1","0"
"483","145","0","0","1","0"
"484","146","0","1","1","0"
"485","147","0","0","1","0"
"486","148","0","0","1","0"
"487","149","0","0","0","0"
"488","150","0","0","0","1"
"489","151","0","1","1","0"
"490","152","0","1","1","0"
"491","153","0","0","0","0"
"492","154","0","0","0","0"
"493","155","1","1","1","0"
"494","156","0","0","1","1"
"495","157","0","1","1","0"
"496","158","0","0","0","1"
"497","159","0","0","1","0"
"498","160","0","0","1","1"
"499","161","0","1","1","0"
"500","162","0","0","0","1"
"501","163","0","1","1","1"
"502","164","0","0","0","1"
"503","165","0","0","0","1"
"504","166","0","1","0","0"
"505","167","1","1","1","0"
"506","168","1","1","0","1"
"507","169","1","1","0","1"
"508","170","0","0","1","1"
"509","171","0","0","0","1"
"510","172","0","0","0","0"
"511","173","0","0","1","1"
"512","174","0","0","1","0"
"513","175","0","0","0","0"
"514","176","0","1","0","1"
"515","177","0","0","0","1"
"516","178","0","0","0","1"
"517","179","0","0","0","1"
"518","180","0","0","0","1"
"519","181","0","0","0","1"
"520","182","0","0","0","1"
"521","183","0","0","0","0"
"522","184","0","0","0","1"
"523","185","0","1","1","0"
"524","186","0","1","0","1"
"525","187","0","0","1","1"
"526","188","0","0","1","1"
"527","189","0","0","1","1"
"528","190","0","0","1","0"
"529","191","0","0","0","1"
"530","192","0","0","0","1"
"531","193","0","0","0","0"
"532","194","1","1","1","0"
"533","195","0","1","0","1"
"534","196","0","0","0","0"
"535","197","0","0","0","0"
"536","198","0","0","1","1"
"537","199","1","1","0","1"
"538","200","0","0","0","1"
"539","201","0","0","1","1"
"540","202","0","0","1","0"
"541","203","0","0","0","1"
"542","204","0","1","1","0"
"543","205","0","0","0","1"
"544","206","0","0","0","1"
"545","207","0","0","1","0"
"546","208","0","0","1","0"
"547","209","0","0","1","1"
"548","210","0","0","1","0"
"549","211","0","0","0","1"
"550","212","0","0","0","1"
"551","213","0","0","0","0"
"552","214","0","0","0","0"
"553","215","0","1","1","1"
"554","216","0","1","1","1"
"555","217","0","0","1","1"
"556","218","0","0","0","1"
"557","219","0","1","0","1"
"558","220","0","1","0","1"
"559","221","0","0","0","1"
"560","222","0","0","0","1"
"561","223","0","0","1","0"
"562","224","0","0","1","0"
"563","225","0","0","0","0"
"564","226","0","0","0","1"
"565","227","0","0","1","0"
"566","228","0","0","1","0"
"567","229","0","0","0","1"
"568","230","0","0","1","0"
"569","231","0","0","1","0"
"570","232","0","0","1","0"
"571","233","0","0","0","0"
"572","234","0","0","0","1"
"573","235","0","0","1","0"
"574","236","0","0","0","0"
"575","237","0","0","1","0"
"576","238","0","0","1","0"
"577","239","0","0","0","1"
"578","240","0","0","0","0"
"579","241","0","0","0","0"
"580","242","0","0","0","1"
"581","243","0","0","0","1"
"582","244","0","0","1","0"
"583","245","0","0","0","1"
"584","246","0","0","1","0"
"585","247","0","0","0","0"
"586","248","0","0","0","0"
"587","249","0","0","0","1"
"588","250","0","0","0","1"
"589","251","0","0","0","0"
"590","252","0","0","0","0"
"591","253","0","0","0","0"
"592","254","0","0","1","0"
"593","255","0","0","0","1"
"594","256","0","0","0","1"
"595","257","0","0","1","0"
"596","258","0","0","1","0"
"597","259","0","0","1","0"
"598","260","0","0","1","0"
"599","261","0","0","0","1"
"600","262","0","0","0","0"
"601","263","0","0","0","1"
"602","264","0","0","1","1"
"603","265","0","1","1","1"
"604","266","0","0","1","0"
"605","267","0","0","1","0"
"606","268","1","1","0","0"
"607","269","0","1","0","1"
"608","270","0","0","1","0"
"609","271","0","0","0","0"
"610","272","0","0","0","0"
"611","273","0","0","1","0"
"612","274","0","0","0","1"
"613","275","0","0","1","1"
"614","276","0","0","1","0"
"615","277","1","1","0","0"
"616","278","1","1","1","0"
"617","279","0","0","1","1"
"618","280","0","0","1","0"
"619","281","0","0","0","1"
"620","282","0","0","1","1"
"621","283","0","0","1","0"
"622","284","0","0","1","0"
"623","285","0","0","1","0"
"624","286","0","0","1","0"
"625","287","0","0","1","0"
"626","288","0","0","1","1"
"627","289","0","0","1","0"
"628","290","0","0","1","0"
"629","291","0","0","1","0"
"630","292","0","0","0","1"
"631","293","0","1","1","1"
"632","294","0","1","1","0"
"633","295","0","0","1","0"
"634","296","0","1","0","1"
"635","297","0","0","1","0"
"636","298","0","0","1","0"
"637","299","0","0","1","0"
"638","300","0","0","1","1"
"639","301","0","0","0","1"
"640","302","0","0","0","1"
"641","303","0","0","1","0"
"642","304","0","0","1","0"
"643","305","0","0","0","1"
"644","306","0","0","1","0"
"645","307","0","0","0","1"
"646","308","0","0","0","1"
"647","309","0","0","0","0"
